X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
-8840324.92866212,5431466.49596331,3439402,911964,2006,2006/06/17 04:00:00+00,1755,17,FINCH AVE E,YONGE ST,<Null>,Major Arterial,North York,18,32,43.780045,-79.41399,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,<Null>,South,Other,<Null>,<Null>,<Null>,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,51,Willowdale East (51),1
-8850232.36334272,5403939.87455221,3603195,909261,2006,2006/06/19 04:00:00+00,1208,12,LAKE SHORE BLVD W,FIFTH ST,<Null>,Major Arterial,Etobicoke York,3,22,43.601245,-79.50299,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,<Null>,Unknown,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),2
-8850232.36334272,5403939.87455221,3603196,909261,2006,2006/06/19 04:00:00+00,1208,12,LAKE SHORE BLVD W,FIFTH ST,<Null>,Major Arterial,Etobicoke York,3,22,43.601245,-79.50299,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),3
-8850232.36334272,5403939.87455221,3603197,909261,2006,2006/06/19 04:00:00+00,1208,12,LAKE SHORE BLVD W,FIFTH ST,<Null>,Major Arterial,Etobicoke York,3,22,43.601245,-79.50299,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,40 to 44,None,<Null>,West,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),4
-8844543.93736319,5427242.88070809,3439426,911973,2006,2006/06/19 04:00:00+00,1700,17,SHEPPARD AVE W,FAYWOOD BLVD,<Null>,Major Arterial,North York,6,32,43.752645,-79.45189,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,<Null>,North,"Automobile, Station Wagon",Turning Right,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,33,Clanton Park (33),5
-8844543.93736319,5427242.88070809,3439427,911973,2006,2006/06/19 04:00:00+00,1700,17,SHEPPARD AVE W,FAYWOOD BLVD,<Null>,Major Arterial,North York,6,32,43.752645,-79.45189,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,<Null>,West,Other,<Null>,<Null>,<Null>,Vehicle turns right while ped crosses without ROW at inter.,Crossing without right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,33,Clanton Park (33),6
-8829059.39619384,5416923.20037333,3455659,918059,2006,2006/06/21 04:00:00+00,800,8,DANFORTH AVE,WOODBINE AVE,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.685645,-79.31279,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,<Null>,South,Other,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D55,62,East End-Danforth (62),7
-8829059.39619384,5416923.20037333,3455660,918059,2006,2006/06/21 04:00:00+00,800,8,DANFORTH AVE,WOODBINE AVE,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.685645,-79.31279,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,5 to 9,None,<Null>,South,Other,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D55,62,East End-Danforth (62),8
-8829059.39619384,5416923.20037333,3455661,918059,2006,2006/06/21 04:00:00+00,800,8,DANFORTH AVE,WOODBINE AVE,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.685645,-79.31279,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Cyclist,20 to 24,None,<Null>,West,Bicycle,Going Ahead,<Null>,<Null>,<Null>,<Null>,<Null>,Cyclist strikes pedestrian.,Disobeyed Traffic Control,Normal,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D55,62,East End-Danforth (62),9
-8837486.28164689,5412229.25349189,3551216,909745,2006,2006/06/22 04:00:00+00,2210,22,UNIVERSITY AVE,DUNDAS ST W,<Null>,Major Arterial,Toronto and East York,11,52,43.655145,-79.38849,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,76,Bay Street Corridor (76),10
-8837486.28164689,5412229.25349189,3551217,909745,2006,2006/06/22 04:00:00+00,2210,22,UNIVERSITY AVE,DUNDAS ST W,<Null>,Major Arterial,Toronto and East York,11,52,43.655145,-79.38849,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,<Null>,West,Other,<Null>,<Null>,<Null>,Pedestrian hit at mid-block,Running onto Roadway,Had Been Drinking,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,76,Bay Street Corridor (76),11
-8836640.25351686,5411213.82798386,3448305,915319,2006,2006/06/28 04:00:00+00,1357,13,KING ST W,YORK ST,<Null>,Major Arterial,Toronto and East York,10,52,43.648545,-79.38089,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,<Null>,South,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Unknown,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,76,Bay Street Corridor (76),12
-8836640.25351686,5411213.82798386,3448306,915319,2006,2006/06/28 04:00:00+00,1357,13,KING ST W,YORK ST,<Null>,Major Arterial,Toronto and East York,10,52,43.648545,-79.38089,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,76,Bay Street Corridor (76),13
-8836640.25351686,5411213.82798386,3448307,915319,2006,2006/06/28 04:00:00+00,1357,13,KING ST W,YORK ST,<Null>,Major Arterial,Toronto and East York,10,52,43.648545,-79.38089,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,<Null>,West,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,76,Bay Street Corridor (76),14
-8841571.706959,5429184.88687044,3551395,919331,2006,2006/06/30 04:00:00+00,1208,12,SENLAC RD,BURNETT AVE,<Null>,Minor Arterial,North York,18,32,43.765245,-79.42519,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,None,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D32,38,Lansing-Westgate (38),15
-8841571.706959,5429184.88687044,3551396,919331,2006,2006/06/30 04:00:00+00,1208,12,SENLAC RD,BURNETT AVE,<Null>,Minor Arterial,North York,18,32,43.765245,-79.42519,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,<Null>,South,"Automobile, Station Wagon",Overtaking,Improper Passing,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D32,38,Lansing-Westgate (38),16
-8841571.706959,5429184.88687044,3551397,919331,2006,2006/06/30 04:00:00+00,1208,12,SENLAC RD,BURNETT AVE,<Null>,Minor Arterial,North York,18,32,43.765245,-79.42519,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,10 to 14,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,Pedestrian hit at mid-block,Running onto Roadway,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D32,38,Lansing-Westgate (38),17
